,Final_text,rating_class
0,python three objectoriented program build robust maintainable software objectoriented design pattern python thirty-eight 3rd edition Dusty_Phillips,4
1,learn rstudio r statistical compute Mark_van_der_Loo Edwin_de_Jonge,4
2,socketio realtime web application development Rohit_Rai,3
3,ez publish four enterprise web sit stepbystep Francesco_Trucchia Francesco_Fullone,1
4,robot framework test automation Sumit_Bisht,3
5,sketchbook pro digital paint essentials Gil_Robles,4
6,learn game physics bullet physics opengl Chris_Dickinson,3
7,begin api development nodejs build highly scalable developerfriendly apis modern web javascript nodejs Anthony_Nandaa,4
8,runescape gold strategy guide Lesley_A._Harrison,4
9,begin data science python jupyter use powerful industrystandard tool within jupyter python ecosystem unlock new actionable insights data Alex_Galea,4
10,begin devops docker automate deployment environment power docker toolchain Joseph_Muli,4
11,symfony thirteen web application development Tim_Bowler Wojciech_Bancer,3
12,data lake enterprises lambda architecture build enterprise data systems Tomcy_John Pankaj_Misra,4
13,user train busy programmers William_Rice,5
14,get hand dirty clean architecture handson guide create clean web applications code examples java Tom_Hombergs,4
15,become python data analyst perform exploratory data analysis gain insight scientific compute use python Alvaro_Fuentes,5
16,cybersecurity career master plan prove techniques effective tip help advance cybersecurity career Dr._Gerald_Auger Jaclyn_“Jax”_Scott,5
17,mern quick start guide build web applications mongodb expressjs react node Eddy_Wilson_Iriarte_Koroliova,4
18,restful web api design nodejs ten third edition learn create robust restful web service nodejs mongodb expressjs 3rd edition Valentin_Bojinov,4
19,salesforce beginners stepbystep guide create manage automate sales market process Sharif_Shaalan,4
20,enhance productivity notion save time project supercharge productivity notion powerful feature templates Danny_Hatcher,4
21,llvm essentials become familiar llvm infrastructure start use llvm libraries design compiler Suyog_Sarda Mayur_Pandey,3
22,automate test microsoft dynamics three hundred and sixty-five business central efficiently automate test case dynamics nav business central Luc_van_Vugt,5
23,unreal engine four game development quick start guide program professional 3d game unreal engine four Rachel_Cordone,4
24,selenium test tool cookbook Unmesh_Gundecha,4
25,guide nosql azure cosmos db work massively scalable azure database service json c linq net core two Gaston_C._Hillar Daron_Yöndem,4
26,nextjs quick start guide serverside render do right Kirill_Konshin,3
27,redis apply design pattern Arun_Chinnachamy,2
28,rabbitmq essentials build distribute scalable applications message queue use rabbitmq 2nd edition Lovisa_Johansson David_Dossot,4
29,begin react simplify frontend development workflow enhance user experience applications react Andrea_Chiarelli,3
30,begin serverless architectures microsoft azure design scalable applications microservices effortlessly adapt requirements customers Daniel_Bass,3
31,middleware management oracle enterprise manager grid control 10g r5 lite Arvind_Maheshwari Debu_Panda,3
32,python three object orient program Dusty_Phillips,4
33,master nodejs expert techniques build fast servers scalable realtime network applications minimal effort community experience distil Sandro_Pasquali,4
34,instant ossec hostbased intrusion detection Brad_Lhotsky,4
35,get start tmux Victor_Quinn_J.D.,4
36,professional scrum master psm guide successfully practice scrum realworld project achieve psm certification confidence Fred_Heath,5
37,cod roblox game make easy ultimate guide create game roblox studio lua program Zander_Brumbaugh,4
38,get start web components build modular reusable components use html css javascript Prateek_Jadhwani,3
39,instant nagios starter Michael_Guthrie,3
40,jquery mobile first look Giulio_Bai,3
41,architects intelligence truth ai people build Martin_Ford,4
42,handson data analysis numpy pandas implement python package data manipulation process Curtis_Miller,4
43,business process management jboss jbpm Matt_Cumberlidge,3
44,java eleven twelve new feature learn project amber latest developments java language platform Mala_Gupta,4
45,ccba cbap certifications study guide expert tip practice business analysis pass certification exams first attempt Esta_Lessing,4
46,sql data analytics perform fast efficient data analysis power sql Upom_Malik Matt_Goldwasser,4
47,python offensive pentest practical guide ethical hack penetration test use python Hussam_Khrais,4
48,handson recommendation systems python start build powerful personalize recommendation engines python Rounak_Banik,4
49,natural language process python quick start guide go python developer effective natural language process engineer Nirant_Kasliwal,4
50,comptia security certification guide master security essentials exam topics comptia security sy0501 certification Ian_Neil,4
51,handson agile software development jira design manage software project use agile methodology David_Harned,4
52,work smarter microsoft onenote expert guide set onenote notebooks become organize efficient productive Connie_Clark,4
53,ansible playbook essentials Gourav_Shah,4
54,flask framework cookbook eighty prove recipes techniques python web development flask 2nd edition Shalabh_Aggarwal,4
55,cybersecurity beginner guide comprehensive guide get start cybersecurity Dr._Erdal_Ozkaya,4
