book_name,book_Price,book_reviews,book_rating,book_date,book_discount,book_author
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,"2,464",69,4.1 out of 5 stars,22-Jan-21,(20% off),by Sudharsan Ravichandiran | 22 January 2021
"AWS for Solutions Architects: Design your cloud infrastructure by implementing DevOps, containers, and Amazon Web Services","2,464",79,4.3 out of 5 stars,19-Feb-21,(20% off),by Alberto Artasanchez | 19 February 2021
"LEARNING AWS 2/ED: Design, build, and deploy responsive applications using AWS Cloud components, 2nd Edition","2,782",14,4.3 out of 5 stars,01-Jan-18,(20% off),by Amit Shah Aurobindo Sarkar | 1 January 2018
SQL for Data Analytics - Third Edition: Harness the power of SQL to extract insights from data,"2,703",1,5.0 out of 5 stars,29-Aug-22,(20% off),"by Jun Shan, Matt Goldwasser, et al. | 29 August 2022"
Programming with CodeIgniterMVC,"2,226",6,2.6 out of 5 stars,23-Sep-13,(20% off),by Eliahou Orr and Yehuda Zadik | 23 September 2013
Mastering Bootstrap 4,"2,782",3,3.3 out of 5 stars,06-Jan-16,(20% off),by Benjamin Jakobus and Jason Marah | 6 January 2016
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition","2,703",29,4.1 out of 5 stars,29-Oct-21,(20% off),by Fabrizio Romano and Heinrich Kruger | 29 October 2021
"Artificial Intelligence By Example: Acquire advanced AI, machine learning, and deep learning design skills, 2nd Edition","2,464",16,4.2 out of 5 stars,28-Feb-20,(20% off),by Denis Rothman | 28 February 2020
"Exam Ref AZ-104 Microsoft Azure Administrator Certification and Beyond: A pragmatic guide to achieving the Azure administration certification, 2nd ... achieving Azure administration certification","3,578",,,22-Jul-22,(20% off),by Donovan Kelly and Riaan Lowe | 22 July 2022
"GitHub Essentials: Unleash the power of collaborative development workflows using GitHub, 2nd Edition","1,828",14,3.7 out of 5 stars,30-Jun-18,(20% off),by Achilleas Pipinellis | 30 June 2018
"Machine Learning on Kubernetes: Build, deploy, and track your ML models on a containerized, sustainable machine learning platform","2,703",,,17-Jun-22,(20% off),by Faisal Masood and Ross Brigoli | 17 June 2022
Mastering Microsoft Power Bi: Expert techniques for effective data analytics and business intelligence,"3,100",156,4.2 out of 5 stars,01-Jan-18,(20% off),by Brett Powell | 1 January 2018
Mastering ROS for Robotics Programming: Best practices and troubleshooting solutions when working with ROS,"3,418",16,4.6 out of 5 stars,28-Oct-21,(20% off),by Lentin Joseph and Jonathan Cacace | 28 October 2021
"Mastering Machine Learning with R -: Advanced prediction, algorithms, and learning methods with R 3.x",898,5,3.2 out of 5 stars,24-Apr-17,(77% off),by Cory Lesmeister | 24 April 2017
Python for Geeks: Build production-ready applications using advanced Python concepts and industry best practices,"2,464",11,4.2 out of 5 stars,20-Oct-21,(20% off),by Muhammad Asif | 20 October 2021
Python Algorithmic Trading Cookbook: All the recipes you need to implement your own algorithmic trading strategies in Python,"2,853",29,3.9 out of 5 stars,28-Aug-20,(18% off),by Pushpak Dagade | 28 August 2020
MuleSoft for Salesforce Developers: A practitioner's guide to deploy MuleSoft APIs and integrations for Salesforce enterprise solutions: A ... for Salesforce enterprise solutions,"2,943",,,23-Sep-22,(20% off),"by Akshata Sawant , Arul Christhuraj Alphonse , et al. | 23 September 2022"
Workflow Automation with Microsoft Power Automate -: Use business process automation to achieve digital transformation with minimal code,"2,385",7,4.6 out of 5 stars,19-Aug-22,(20% off),by Aaron Guilmette | 19 August 2022
Django 4 By Example - Fourth Edition: Build powerful and reliable Python web applications from scratch,"2,941",6,4.6 out of 5 stars,30-Aug-22,(20% off),by Antonio Mele | 30 August 2022
Artificial Intelligence with Power BI: Take your data analytics skills to the next level by leveraging the AI capabilities in Power BI,"2,782",3,4.2 out of 5 stars,29-Apr-22,(20% off),by Mary-Jo Diepeveen | 29 April 2022
Mastering Mobile Forensics,"2,782",5,5.0 out of 5 stars,06-Jan-16,(20% off),by Soufiane Tahiri | 6 January 2016
