book_name,book_cost,book_cost_url,book_rating,book_ReviewsNumber,book_ReviewsNumber_url
Fresh Guard Soak Crystals 24 Packts,"1,364",https://www.amazon.in/Fresh-Guard-Specially-Formulated-Mouthguards/dp/B00HNKXSZO/ref=sr_1_1?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-1,4.4 out of 5 stars,"4,338",https://www.amazon.in/Fresh-Guard-Specially-Formulated-Mouthguards/dp/B00HNKXSZO/ref=sr_1_1?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-1#customerReviews
Managing Data and Media in Silverlight 4: A mashup of chapters from Packt's bestselling Silverlight books,788,https://www.amazon.in/Managing-Data-Media-Silverlight-bestselling-ebook/dp/B007E6YCNO/ref=sr_1_2?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-2,,,
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,443,https://www.amazon.in/Getting-Started-Google-BERT-state-ebook/dp/B08LLDF377/ref=sr_1_3?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-3,4.1 out of 5 stars,69,https://www.amazon.in/Getting-Started-Google-BERT-state/dp/1838821597/ref=sr_1_3?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-3#customerReviews
Microsoft SharePoint 2010 Developer’s Compendium: The Best of Packt for Extending SharePoint,"3,100",https://www.amazon.in/Microsoft-SharePoint-2010-Developers-Compendium/dp/1849686807/ref=sr_1_4?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-4,,,
"Mastering Blockchain: A deep dive into distributed ledgers, consensus protocols, smart contracts, DApps, cryptocurrencies, Ethereum, and more, 3rd Edition","2,300",https://www.amazon.in/Mastering-Blockchain-distributed-consensus-cryptocurrencies/dp/1839213191/ref=sr_1_5?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-5,4.4 out of 5 stars,171,https://www.amazon.in/Mastering-Blockchain-distributed-consensus-cryptocurrencies-ebook/dp/B08GMCXNFV/ref=sr_1_5?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-5#customerReviews
"AWS for Solutions Architects: Design your cloud infrastructure by implementing DevOps, containers, and Amazon Web Services",788,https://www.amazon.in/AWS-Solutions-Architects-infrastructure-implementing-ebook/dp/B08MQ28DMY/ref=sr_1_6?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-6,4.3 out of 5 stars,79,https://www.amazon.in/AWS-Solutions-Architects-infrastructure-implementing/dp/1789539234/ref=sr_1_6?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-6#customerReviews
Mastering SaltStack -: Use Salt to the fullest,985,https://www.amazon.in/Mastering-SaltStack-Second-Joseph-Hall-ebook/dp/B01IRD0LBO/ref=sr_1_7?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-7,4.2 out of 5 stars,11,https://www.amazon.in/Mastering-SaltStack-Joseph-Hall/dp/1786467399/ref=sr_1_7?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-7#customerReviews
"LEARNING AWS 2/ED: Design, build, and deploy responsive applications using AWS Cloud components, 2nd Edition",498,https://www.amazon.in/Learning-AWS-responsive-applications-components-ebook/dp/B0771MYVDH/ref=sr_1_8?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-8,4.3 out of 5 stars,14,https://www.amazon.in/Learning-AWS-responsive-applications-components/dp/178728106X/ref=sr_1_8?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-8#customerReviews
Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam,"3,100",https://www.amazon.in/Azure-Scientist-Associate-Certification-hands/dp/1800565003/ref=sr_1_9?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-9,4.3 out of 5 stars,5,https://www.amazon.in/Azure-Scientist-Associate-Certification-hands-ebook/dp/B09CQ4YLTN/ref=sr_1_9?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-9#customerReviews
OpenStack Essentials -,689,https://www.amazon.in/OpenStack-Essentials-Second-Dan-Radez-ebook/dp/B01ET5I1XO/ref=sr_1_10?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-10,3.3 out of 5 stars,6,https://www.amazon.in/OpenStack-Essentials-Dan-Radez/dp/1786462664/ref=sr_1_10?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805643&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-10#customerReviews
