book_name,book_ratings,book_number_of_reviews,book_price,book_discount,book_author,day,month,year,years_launched,keyword,keyword2
"Python 3 Object-Oriented Programming: Build robust and maintainable software with object-oriented design patterns in Python 3.8, 3rd Edition",4.4,201,4770,0,by Dusty Phillips ,30,October,2018,4,['python object oriented'],['python']
Learning RStudio for R Statistical Computing,3.7,13,1828,0,by Mark van der Loo and Edwin de Jonge ,24,December,2012,10,['learning rstudio statistical'],['rstudio']
Socket.io Real-time Web Application Development,3.2,4,2243,0,by Rohit Rai ,22,February,2013,9,['real time web'],['socket']
Robot Framework Test Automation,2.9,17,1828,0,by Sumit Bisht ,25,October,2013,9,['robot framework test'],['automation']
SketchBook Pro Digital Painting Essentials,3.8,48,1828,0,by Gil Robles ,25,October,2013,9,['digital painting essentials'],['sketchbook']
"Beginning API Development with Node.js: Build highly scalable, developer-friendly APIs for the modern web with JavaScript and Node.js",3.5,8,899,0,by Anthony Nandaa ,24,July,2018,4,['node js'],['node js']
Runescape Gold Strategy Guide,3.5,6,2781,0,by Lesley A. Harrison ,14,June,2012,10,['runescape gold strategy'],['runescape']
"Beginning Data Science with Python and Jupyter: Use powerful industry-standard tools within Jupyter and the Python ecosystem to unlock new, actionable insights from your data",3.9,18,954,0,by Alex Galea ,5,June,2018,4,['data science python'],['jupyter']
Beginning DevOps with Docker: Automate the deployment of your environment with the power of the Docker toolchain,3.8,7,1019,0,by Joseph Muli ,29,May,2018,4,['devops docker'],['docker']
Symfony 1.3 Web Application Development,3,1,250,0,by Tim Bowler and Wojciech Bancer ,21,September,2009,13,['symfony web application'],['symfony']
Data Lake for Enterprises: Lambda Architecture for building enterprise data systems,4.1,16,1431,0,by Tomcy John and Pankaj Misra ,31,May,2017,5,['enterprises lambda architecture'],['lambda']
User Training for Busy Programmers,5,1,648,0,by William Rice ,14,June,2005,17,['training busy programmers'],['programmers']
Get Your Hands Dirty on Clean Architecture: A hands-on guide to creating clean web applications with code examples in Java,4.5,94,1351,0,by Tom Hombergs ,30,September,2019,3,['clean web applications'],['java']
Become a Python Data Analyst: Perform exploratory data analysis and gain insight into scientific computing using Python,4.8,10,1510,0,by Alvaro Fuentes ,31,August,2018,4,['python data analyst'],['python']
Cybersecurity Career Master Plan: Proven techniques and effective tips to help you advance in your cybersecurity career,4.8,150,1828,0,"by Dr. Gerald Auger , Jaclyn “Jax” Scott , et al. ",13,September,2021,1,['advance cybersecurity career'],['cybersecurity']
"MERN Quick Start Guide: Build web applications with MongoDB, Express.js, React, and Node",3.8,10,1828,0,by Eddy Wilson Iriarte Koroliova ,31,May,2018,4,['web applications mongodb'],['mongodb']
"RESTful Web API Design with Node.js 10, Third Edition: Learn to create robust RESTful web services with Node.js, MongoDB, and Express.js, 3rd Edition",4.1,7,1828,0,by Valentin Bojinov ,30,April,2018,4,['restful web services'],['restful']
"Salesforce for Beginners: A step-by-step guide to creating, managing, and automating sales and marketing processes",4.4,166,1581,0,by Sharif Shaalan ,29,May,2020,2,['automating sales marketing'],['sales']
Enhancing Productivity with Notion: Save time on projects by supercharging your productivity with Notion's powerful features and templates,3.5,7,1512,0,by Danny Hatcher ,16,March,2022,0,['notion save time'],['productivity']
LLVM Essentials: Become familiar with the LLVM infrastructure and start using LLVM libraries to design a compiler,3,17,1510,0,by Suyog Sarda and Mayur Pandey ,21,December,2015,7,['llvm libraries'],['compiler']
Automated Testing in Microsoft Dynamics 365 Business Central: Efficiently automate test cases in Dynamics NAV and Business Central,4.6,11,1510,0,by Luc van Vugt ,30,April,2019,3,['testing microsoft dynamics'],['automate']
Unreal Engine 4 Game Development Quick Start Guide: Programming professional 3D games with Unreal Engine 4,4.4,67,1510,0,by Rachel Cordone ,31,May,2019,3,['unreal engine game'],['development']
Selenium Testing Tools Cookbook,4,23,2532,0,by Unmesh Gundecha ,23,November,2012,10,['testing tools cookbook'],['selenium']
"Guide to NoSQL with Azure Cosmos DB: Work with the massively scalable Azure database service with JSON, C#, LINQ, and .NET Core 2",4.1,11,1828,0,by Gaston C. Hillar and Daron Yöndem ,28,September,2018,4,['nosql azure cosmos'],['nosql']
Next.js Quick Start Guide: Server-side rendering done right,3.3,7,1828,0,by Kirill Konshin ,26,July,2018,4,['guide server rendering'],['rendering']
Redis Applied Design Patterns,2.3,5,2234,0,by Arun Chinnachamy ,23,September,2014,8,['redis applied design'],['redis']
"RabbitMQ Essentials: Build distributed and scalable applications with message queuing using RabbitMQ, 2nd Edition",4.4,18,1828,0,by Lovisa Johansson and David Dossot ,7,August,2020,2,['queuing using rabbitmq'],['rabbitmq']
Beginning React: Simplify your frontend development workflow and enhance the user experience of your applications with React,3,2,954,0,by Andrea Chiarelli ,25,July,2018,4,['beginning react'],['react']
Beginning Serverless Architectures with Microsoft Azure: Design scalable applications and microservices that effortlessly adapt to the requirements of your customers,3,2,954,0,by Daniel Bass ,25,July,2018,4,['serverless architectures microsoft'],['serverless']
Middleware Management with Oracle Enterprise Manager Grid Control 10g R5: LITE,3,1,375,0,by Arvind Maheshwari and Debu Panda ,19,May,2011,11,['middleware management oracle'],['middleware']
Python 3 Object Oriented Programming,4.5,59,3101,0,by Dusty Phillips ,26,July,2010,12,['python object oriented'],['python']
"Mastering Node.js: Expert techniques for building fast servers and scalable, real-time network applications with minimal effort (Community Experience Distilled)",3.9,7,3100,0,by Sandro Pasquali ,25,November,2013,9,['mastering node js'],['node']
Instant OSSEC Host-based Intrusion Detection,4,6,1749,0,by Brad Lhotsky ,22,August,2013,9,['instant ossec host'],['ossec']
Getting Started with tmux,4.2,8,1749,0,by Victor Quinn J.D. ,24,September,2014,8,['getting started tmux'],['tmux']
The Professional Scrum Master (PSM I) Guide: Successfully practice Scrum with real-world projects and achieve your PSM I certification with confidence,4.6,36,1272,0,by Fred Heath ,16,July,2021,1,['professional scrum master'],['scrum']
Coding Roblox Games Made Easy: The ultimate guide to creating games with Roblox Studio and Lua programming,4.4,227,2703,0,by Zander Brumbaugh ,8,January,2021,1,['coding roblox games'],['roblox']
"Getting Started with Web Components: Build modular and reusable components using HTML, CSS and JavaScript",3.4,10,1272,0,by Prateek Jadhwani ,9,August,2019,3,['web components'],['components']
Instant Nagios Starter,3.3,7,1957,0,by Michael Guthrie ,23,May,2013,9,['instant nagios starter'],['nagios']
jQuery Mobile First Look,3,1,395,0,by Giulio Bai ,23,June,2011,11,['jquery mobile look'],['jquery']
Architects of Intelligence: The truth about AI from the people building it,4.4,153,2960,0,by Martin Ford ,23,November,2018,4,['architects intelligence truth'],['ai']
Hands-On Data Analysis with NumPy and pandas: Implement Python packages from data manipulation to processing,3.5,11,1828,0,by Curtis Miller ,29,June,2018,4,['data analysis numpy'],['numpy']
Business Process Management with JBoss jBPM,2.7,7,348,0,by Matt Cumberlidge ,30,July,2007,15,['process management jboss'],['jboss']
Java 11 and 12 – New Features: Learn about Project Amber and the latest developments in the Java language and platform,4.4,6,1828,0,by Mala Gupta ,26,March,2019,3,['developments java language'],['java']
CCBA® and CBAP® Certifications Study Guide: Expert tips and practices in business analysis to pass the certification exams on the first attempt,4,24,1830,0,by Esta Lessing ,22,May,2020,2,['ccba cbap certifications'],['ccba']
